Variant,Sharpe,CAGR,MaxDD,TotalReturn
Buy & Hold,0.9591946637277577,0.5136243441832673,-0.8339900882218972,136.72400268225107
Intraday-only (0 bps),0.9279210444934228,0.48189121885306485,-0.839826430456099,106.18655622144635
Overnight-only (0 bps),0.5634109082106346,0.01973413577989991,-0.07627453945411489,0.2613733706720933
Overnight-only (5 bps),-9.631459074895517,-0.29221983682998753,-0.9835051189552538,-0.9835387108827376
Overnight-only (10 bps),-19.82632905800167,-0.5089214143079028,-0.9997854553683444,-0.9997861068344481
Overnight-only (20 bps),-40.216069024213986,-0.7638551470564615,-0.9999999641755618,-0.9999999643559918
