cohort,fee_bps,compare,cagr_left,cagr_right,cagr_delta,sharpe_left,sharpe_right,sharpe_delta,n_obs
full_common_12,0,daily_minus_buyhold,0.33487413135053345,0.27609838132187736,0.05877575002865609,0.7611288074343484,0.7100496575614557,0.05107914987289275,2172
full_common_12,0,weekly_minus_buyhold,0.36329689516768227,0.27609838132187736,0.0871985138458049,0.7885473292425453,0.7100496575614557,0.07849767168108968,2172
full_common_12,0,monthly_minus_buyhold,0.39258928274693705,0.27609838132187736,0.11649090142505969,0.8145931147381914,0.7100496575614557,0.10454345717673574,2172
full_common_12,0,daily_minus_monthly,0.33487413135053345,0.39258928274693705,-0.0577151513964036,0.7611288074343484,0.8145931147381914,-0.053464307303842995,2172
full_common_12,5,daily_minus_buyhold,0.3305420855265022,0.2759845855223855,0.054557500004116743,0.7568018358222974,0.7099477515614266,0.04685408426087079,2172
full_common_12,5,weekly_minus_buyhold,0.36137042976802913,0.2759845855223855,0.08538584424564366,0.7866833236269627,0.7099477515614266,0.07673557206553605,2172
full_common_12,5,monthly_minus_buyhold,0.3914545373641607,0.2759845855223855,0.11546995184177522,0.8135305579304689,0.7099477515614266,0.10358280636904227,2172
full_common_12,5,daily_minus_monthly,0.3305420855265022,0.3914545373641607,-0.06091245183765848,0.7568018358222974,0.8135305579304689,-0.05672872210817148,2172
full_common_12,10,daily_minus_buyhold,0.32622397058801633,0.2758707394580733,0.050353231129943055,0.7524747032916773,0.7098458070981796,0.042628896193497745,2172
full_common_12,10,weekly_minus_buyhold,0.3594465395249875,0.2758707394580733,0.08357580006691423,0.7848192247391113,0.7098458070981796,0.07497341764093168,2172
full_common_12,10,monthly_minus_buyhold,0.39032055568717605,0.2758707394580733,0.11444981622910277,0.8124678443824672,0.7098458070981796,0.10262203728428765,2172
full_common_12,10,daily_minus_monthly,0.32622397058801633,0.39032055568717605,-0.06409658509915972,0.7524747032916773,0.8124678443824672,-0.0599931410907899,2172
