Date,full_common_12_buyhold_fee0,full_common_12_daily_fee0,full_common_12_weekly_fee0,full_common_12_monthly_fee0,start_2018_no_dot_buyhold_fee0,start_2018_no_dot_daily_fee0,start_2018_no_dot_weekly_fee0,start_2018_no_dot_monthly_fee0,start_2020_no_dot_buyhold_fee0,start_2020_no_dot_daily_fee0,start_2020_no_dot_weekly_fee0,start_2020_no_dot_monthly_fee0,exclude_dot_same_window_buyhold_fee0,exclude_dot_same_window_daily_fee0,exclude_dot_same_window_weekly_fee0,exclude_dot_same_window_monthly_fee0
2018-01-02,,,,,1.1135995577008821,1.1135995577008821,1.1135995577008821,1.1135995577008821,,,,,,,,
2018-01-03,,,,,1.2706712897122963,1.2629761667087334,1.2706712897122963,1.2706712897122963,,,,,,,,
2018-01-04,,,,,1.4863117853686398,1.4406245683337884,1.4863117853686398,1.4863117853686398,,,,,,,,
2018-01-05,,,,,1.5158669651236236,1.4717434151710747,1.5158669651236236,1.5158669651236236,,,,,,,,
2018-01-06,,,,,1.5343866182927557,1.5625190813894219,1.5343866182927557,1.5343866182927557,,,,,,,,
2018-01-07,,,,,1.6422274647397257,1.6516403665258739,1.6422274647397257,1.6422274647397257,,,,,,,,
2018-01-08,,,,,1.4353233152989073,1.464569560396703,1.4562227981654106,1.4353233152989073,,,,,,,,
2018-01-09,,,,,1.3405497358103526,1.3934200510598638,1.3900949374823324,1.3405497358103526,,,,,,,,
2018-01-10,,,,,1.343639022654745,1.399067122927124,1.3949488571166535,1.343639022654745,,,,,,,,
2018-01-11,,,,,1.1952800447186773,1.2561143215261603,1.2493529686470448,1.1952800447186773,,,,,,,,
2018-01-12,,,,,1.3047290701420764,1.38118942882287,1.374598416510404,1.3047290701420764,,,,,,,,
2018-01-13,,,,,1.3408260581892941,1.4268281625086758,1.4277989346461526,1.3408260581892941,,,,,,,,
2018-01-14,,,,,1.2408681276375817,1.3267290633350863,1.3391511812420485,1.2408681276375817,,,,,,,,
2018-01-15,,,,,1.150739953417042,1.2342515457863943,1.2458077999247243,1.150739953417042,,,,,,,,
2018-01-16,,,,,0.8828950955097264,0.9441716582347456,0.9543993469133933,0.8828950955097264,,,,,,,,
2018-01-17,,,,,0.926804393048158,0.992458769255311,0.9956811207406439,0.926804393048158,,,,,,,,
2018-01-18,,,,,0.9801720670037455,1.0527841460068208,1.0564001575568651,0.9801720670037455,,,,,,,,
2018-01-19,,,,,0.9852719274297577,1.0596550935200009,1.0612389403228972,0.9852719274297577,,,,,,,,
