n_obs,total_return,cagr,vol,sharpe,max_dd,mean_return,annualization_factor,risk_free_rate,vol_eps,sharpe_ddof,variant,cohort,frequency,fee_bps,avg_annual_risky_traded_notional,total_risky_traded_notional,n_rebalances,initial_establishment
2172,3.2666130975809997,0.27609838132187736,0.8647890550487529,0.7100496575614557,-0.8842404460307504,0.0016823100613705803,365.0,0.0,1e-12,0,full_common_12_buyhold_fee0,full_common_12,buyhold,0,0.1680478821362799,1.0,1,1.0
2172,3.2643495145603234,0.2759845855223855,0.8647948347028074,0.7099477515614266,-0.8842404460307505,0.0016820798587923115,365.0,0.0,1e-12,0,full_common_12_buyhold_fee5,full_common_12,buyhold,5,0.1680478821362799,1.0,1,1.0
2172,3.2620859315396276,0.2758707394580733,0.8648006628758175,0.7098458070981796,-0.8842404460307504,0.0016818496562140423,365.0,0.0,1e-12,0,full_common_12_buyhold_fee10,full_common_12,buyhold,10,0.1680478821362799,1.0,1,1.0
2172,3.2575587654982607,0.2756428963392563,0.8648124647747716,0.7096418028570166,-0.8842404460307504,0.0016813892510575048,365.0,0.0,1e-12,0,full_common_12_buyhold_fee20,full_common_12,buyhold,20,0.1680478821362799,1.0,1,1.0
2172,3.243977267374097,0.2749581555247005,0.8648490348228682,0.7090288689692207,-0.8842404460307506,0.0016800080355878916,365.0,0.0,1e-12,0,full_common_12_buyhold_fee50,full_common_12,buyhold,50,0.1680478821362799,1.0,1,1.0
2172,4.577708372035794,0.33487413135053345,0.7507364648370888,0.7611288074343484,-0.8064752354827731,0.0015654990415861151,365.0,0.0,1e-12,0,full_common_12_daily_fee0,full_common_12,daily,0,6.506942317851897,38.72076360102554,2172,1.0
2172,4.4708551502822385,0.3305420855265022,0.7507297843730556,0.7568018358222974,-0.8074600073631789,0.0015565854219726193,365.0,0.0,1e-12,0,full_common_12_daily_fee5,full_common_12,daily,5,6.506942317851897,38.72076360102554,2172,1.0
2172,4.366045858177356,0.32622397058801633,0.7507231876233734,0.7524747032916773,-0.8084397789295261,0.0015476718023591238,365.0,0.0,1e-12,0,full_common_12_daily_fee10,full_common_12,daily,10,6.506942317851897,38.72076360102554,2172,1.0
2172,4.162403648609766,0.31762935570025164,0.7507102452758622,0.7438199612395543,-0.8103844223319048,0.0015298445631321321,365.0,0.0,1e-12,0,full_common_12_daily_fee20,full_common_12,daily,20,6.506942317851897,38.72076360102554,2172,1.0
2172,3.5966210703675907,0.29217525817885703,0.7506734276015157,0.7178520229648054,-0.8161009536164475,0.0014763628454511576,365.0,0.0,1e-12,0,full_common_12_daily_fee50,full_common_12,daily,50,6.506942317851897,38.72076360102554,2172,1.0
2172,5.322740194521605,0.36329689516768227,0.7579729149455284,0.7885473292425453,-0.807575285405383,0.0016375274458040644,365.0,0.0,1e-12,0,full_common_12_weekly_fee0,full_common_12,weekly,0,2.8132738423699455,16.74090626199321,311,1.0
2172,5.269758710644327,0.36137042976802913,0.7579808328059254,0.7866833236269627,-0.8079854510633449,0.001633673646019996,365.0,0.0,1e-12,0,full_common_12_weekly_fee5,full_common_12,weekly,5,2.8132738423699455,16.74090626199321,311,1.0
2172,5.217217182045112,0.3594465395249875,0.7579888783609552,0.7848192247391113,-0.8083947558627851,0.0016298198462359273,365.0,0.0,1e-12,0,full_common_12_weekly_fee10,full_common_12,weekly,10,2.8132738423699455,16.74090626199321,311,1.0
2172,5.1134395331803395,0.35560647128552025,0.7580053525385848,0.7810907509437477,-0.8092107899982384,0.0016221122466677903,365.0,0.0,1e-12,0,full_common_12_weekly_fee20,full_common_12,weekly,20,2.8132738423699455,16.74090626199321,311,1.0
2172,4.8122948802770225,0.3441477272550415,0.7580578393065298,0.7699031897625894,-0.811638416065994,0.0015989894479633802,365.0,0.0,1e-12,0,full_common_12_weekly_fee50,full_common_12,weekly,50,2.8132738423699455,16.74090626199321,311,1.0
2172,6.175392260869546,0.39258928274693705,0.7672483499949865,0.8145931147381914,-0.8126026439282501,0.0017123156800004224,365.0,0.0,1e-12,0,full_common_12_monthly_fee0,full_common_12,monthly,0,1.6327044403545459,9.71570971082212,73,1.0
2172,6.140669675435504,0.3914545373641607,0.7672469889364922,0.8135305579304689,-0.8127478986323736,0.001710079098575279,365.0,0.0,1e-12,0,full_common_12_monthly_fee5,full_common_12,monthly,5,1.6327044403545459,9.71570971082212,73,1.0
2172,6.106110221920607,0.39032055568717605,0.7672457723340412,0.8124678443824672,-0.812893051268329,0.0017078425171501363,365.0,0.0,1e-12,0,full_common_12_monthly_fee10,full_common_12,monthly,10,1.6327044403545459,9.71570971082212,73,1.0
2172,6.037477734106994,0.38805488162384605,0.7672437724999359,0.8103419494610455,-0.8131830505949931,0.0017033693542998496,365.0,0.0,1e-12,0,full_common_12_monthly_fee20,full_common_12,monthly,20,1.6327044403545459,9.71570971082212,73,1.0
2172,5.835418638818499,0.3812761409171648,0.7672412399973176,0.8039605652591588,-0.8140506056729903,0.0016899498657489903,365.0,0.0,1e-12,0,full_common_12_monthly_fee50,full_common_12,monthly,50,1.6327044403545459,9.71570971082212,73,1.0
3134,2.050867756757603,0.1387231944912255,0.8875846926782934,0.5980267794380141,-0.9054836634589513,0.001454244973262683,365.0,0.0,1e-12,0,start_2018_no_dot_buyhold_fee0,start_2018_no_dot,buyhold,0,0.11646458200382898,1.0,1,1.0
3134,2.0494979341244743,0.13866363662193137,0.8875773514611024,0.59796611763041,-0.9054836634589513,0.00145408543273939,365.0,0.0,1e-12,0,start_2018_no_dot_buyhold_fee5,start_2018_no_dot,buyhold,5,0.11646458200382898,1.0,1,1.0
3134,2.0481281114913488,0.1386040551105776,0.88757004297706,0.5979054327688608,-0.9054836634589513,0.0014539258922160972,365.0,0.0,1e-12,0,start_2018_no_dot_buyhold_fee10,start_2018_no_dot,buyhold,10,0.11646458200382898,1.0,1,1.0
3134,2.0453884662250954,0.13848482108159965,0.887555524211652,0.5977839939063343,-0.9054836634589515,0.0014536068111695112,365.0,0.0,1e-12,0,start_2018_no_dot_buyhold_fee20,start_2018_no_dot,buyhold,20,0.11646458200382898,1.0,1,1.0
3134,2.037169530426332,0.1381265494982078,0.8875127535943497,0.5974191246080992,-0.9054836634589514,0.0014526495680297537,365.0,0.0,1e-12,0,start_2018_no_dot_buyhold_fee50,start_2018_no_dot,buyhold,50,0.11646458200382898,1.0,1,1.0
3134,3.79030543366565,0.2001574249804261,0.7963557596618727,0.6322576554430291,-0.896191379047116,0.0013794576041160768,365.0,0.0,1e-12,0,start_2018_no_dot_daily_fee0,start_2018_no_dot,daily,0,6.749280701340026,57.95135813150586,3134,1.0
3134,3.6539931598611055,0.1961290710876722,0.7963349354313343,0.6280364742265193,-0.8966223453772474,0.0013702120141142415,365.0,0.0,1e-12,0,start_2018_no_dot_daily_fee5,start_2018_no_dot,daily,5,6.749280701340026,57.95135813150586,3134,1.0
3134,3.5215568496006853,0.19211414879469424,0.7963141741079612,0.6238150229556007,-0.8970515293131746,0.0013609664241124055,365.0,0.0,1e-12,0,start_2018_no_dot_daily_fee10,start_2018_no_dot,daily,10,6.749280701340026,57.95135813150586,3134,1.0
3134,3.267874731848864,0.18412442110803973,0.7962728402023783,0.6153713141530108,-0.8979045793468676,0.0013424752441087342,365.0,0.0,1e-12,0,start_2018_no_dot_daily_fee20,start_2018_no_dot,daily,20,6.749280701340026,57.95135813150586,3134,1.0
3134,2.5890204073136216,0.16047299732014442,0.7961503487663546,0.5900338079654934,-0.9004217095483313,0.0012870017040977205,365.0,0.0,1e-12,0,start_2018_no_dot_daily_fee50,start_2018_no_dot,daily,50,6.749280701340026,57.95135813150586,3134,1.0
3134,4.727969292457544,0.22540664904010388,0.8025936221447699,0.6590823274388942,-0.8906915573149128,0.0014492473218377737,365.0,0.0,1e-12,0,start_2018_no_dot_weekly_fee0,start_2018_no_dot,weekly,0,2.915435146371877,25.032804791039624,448,1.0
3134,4.6566463252046955,0.22361973372228605,0.8025927480788965,0.6572667846305352,-0.8909085897354244,0.0014452535750619218,365.0,0.0,1e-12,0,start_2018_no_dot_weekly_fee5,start_2018_no_dot,weekly,5,2.915435146371877,25.032804791039624,448,1.0
3134,4.586207259095507,0.2218353173596106,0.8025919806150584,0.6554511508092502,-0.8911252032644533,0.0014412598282860698,365.0,0.0,1e-12,0,start_2018_no_dot_weekly_fee10,start_2018_no_dot,weekly,10,2.915435146371877,25.032804791039624,448,1.0
3134,4.4479373513453275,0.21827396801685905,0.8025907654946703,0.6518196130198529,-0.8915571767901572,0.001433272334734366,365.0,0.0,1e-12,0,start_2018_no_dot_weekly_fee20,start_2018_no_dot,weekly,20,2.915435146371877,25.032804791039624,448,1.0
3134,4.0532344923601915,0.20764954514822564,0.8025896786054145,0.6409228905519314,-0.8928431254088686,0.0014093098540792547,365.0,0.0,1e-12,0,start_2018_no_dot_weekly_fee50,start_2018_no_dot,weekly,50,2.915435146371877,25.032804791039624,448,1.0
3134,5.217970147509189,0.23717733813574204,0.8106731262936704,0.6712779915822111,-0.9003317234766308,0.001490923364515308,365.0,0.0,1e-12,0,start_2018_no_dot_monthly_fee0,start_2018_no_dot,monthly,0,1.6212684751362298,13.92069972897793,104,1.0
3134,5.175445839696934,0.2361889438735607,0.8106582277345222,0.6702903581562939,-0.9004217949451575,0.0014887024487959435,365.0,0.0,1e-12,0,start_2018_no_dot_monthly_fee5,start_2018_no_dot,monthly,5,1.6212684751362298,13.92069972897793,104,1.0
3134,5.1332075058542666,0.2352012255591589,0.8106434491220774,0.6693025893943225,-0.9005117930859913,0.0014864815330765788,365.0,0.0,1e-12,0,start_2018_no_dot_monthly_fee10,start_2018_no_dot,monthly,10,1.6212684751362298,13.92069972897793,104,1.0
3134,5.049581206355282,0.2332278151462317,0.8106142517634862,0.6673266475650947,-0.9006915695975323,0.0014820397016378493,365.0,0.0,1e-12,0,start_2018_no_dot_monthly_fee20,start_2018_no_dot,monthly,20,1.6212684751362298,13.92069972897793,104,1.0
3134,4.805371481888829,0.22732376437763668,0.8105295390799853,0.6613956183273715,-0.9012291447981432,0.0014687142073216612,365.0,0.0,1e-12,0,start_2018_no_dot_monthly_fee50,start_2018_no_dot,monthly,50,1.6212684751362298,13.92069972897793,104,1.0
2404,8.449485573526845,0.4063599747166544,0.8479936921744051,0.8292444125429473,-0.8727382790971037,0.00192655898933504,365.0,0.0,1e-12,0,start_2020_no_dot_buyhold_fee0,start_2020_no_dot,buyhold,0,0.15183028286189684,1.0,1,1.0
2404,8.4446024834724,0.4062496083713907,0.847996790042715,0.8291518602687651,-0.8727382790971036,0.0019263510026461881,365.0,0.0,1e-12,0,start_2020_no_dot_buyhold_fee5,start_2020_no_dot,buyhold,5,0.15183028286189684,1.0,1,1.0
2404,8.439719393417967,0.40613919361716966,0.8479999326423792,0.8290592649385464,-0.8727382790971038,0.0019261430159573365,365.0,0.0,1e-12,0,start_2020_no_dot_buyhold_fee10,start_2020_no_dot,buyhold,10,0.15183028286189684,1.0,1,1.0
2404,8.429953213309053,0.4059182186966215,0.848006352033775,0.8288739451724891,-0.8727382790971039,0.0019257270425796324,365.0,0.0,1e-12,0,start_2020_no_dot_buyhold_fee20,start_2020_no_dot,buyhold,20,0.15183028286189684,1.0,1,1.0
2404,8.400654672982474,0.4052541272916219,0.8480266837072934,0.8283169541578176,-0.8727382790971039,0.001924479122446521,365.0,0.0,1e-12,0,start_2020_no_dot_buyhold_fee50,start_2020_no_dot,buyhold,50,0.15183028286189684,1.0,1,1.0
2404,15.302439539007583,0.5277653463487006,0.7624595820280687,0.9418007188381404,-0.8029374810840549,0.0019673561162714065,365.0,0.0,1e-12,0,start_2020_no_dot_daily_fee0,start_2020_no_dot,daily,0,6.422983963883306,42.30370807993279,2404,1.0
2404,14.961953295405836,0.5228772297968858,0.762449522101242,0.9376010735595912,-0.8036240236592712,0.0019585575081017036,365.0,0.0,1e-12,0,start_2020_no_dot_daily_fee5,start_2020_no_dot,daily,5,6.422983963883306,42.30370807993279,2404,1.0
2404,14.628569163010246,0.5180046179580295,0.7624395393696206,0.9334012229528087,-0.8043298913268502,0.0019497588999320002,365.0,0.0,1e-12,0,start_2020_no_dot_daily_fee10,start_2020_no_dot,daily,10,6.422983963883306,42.30370807993279,2404,1.0
2404,13.982518492788206,0.5083057133139388,0.7624198055041004,0.925000910810552,-0.8057640758516927,0.001932161683592594,365.0,0.0,1e-12,0,start_2020_no_dot_daily_fee20,start_2020_no_dot,daily,20,6.422983963883306,42.30370807993279,2404,1.0
2404,12.200048209782883,0.4795760671130902,0.7623624569030251,0.8997951780132117,-0.8101557724263193,0.0018793700345743753,365.0,0.0,1e-12,0,start_2020_no_dot_daily_fee50,start_2020_no_dot,daily,50,6.422983963883306,42.30370807993279,2404,1.0
2404,17.48921332553291,0.5572437054746326,0.7697702543180469,0.9646130168505196,-0.805756675629079,0.0020343298830123916,365.0,0.0,1e-12,0,start_2020_no_dot_weekly_fee0,start_2020_no_dot,weekly,0,2.778812209098774,18.302094659379325,344,1.0
2404,17.320297396533306,0.5550752224107962,0.7697748669758604,0.9628022854352494,-0.8060518727987867,0.002030523290945133,365.0,0.0,1e-12,0,start_2020_no_dot_weekly_fee5,start_2020_no_dot,weekly,5,2.778812209098774,18.302094659379325,344,1.0
2404,17.152912765743544,0.5529096043770203,0.7697795979276371,0.9609914280424515,-0.8063466312228502,0.0020267166988778744,365.0,0.0,1e-12,0,start_2020_no_dot_weekly_fee10,start_2020_no_dot,weekly,10,2.778812209098774,18.302094659379325,344,1.0
2404,16.82268240766548,0.5485869488401984,0.7697894147043013,0.9573693386839025,-0.8069348343841254,0.0020191035147433573,365.0,0.0,1e-12,0,start_2020_no_dot_weekly_fee20,start_2020_no_dot,weekly,20,2.778812209098774,18.302094659379325,344,1.0
2404,15.867334603307885,0.5356873652052674,0.7698217038513592,0.9465001345229903,-0.808688980111705,0.001996263962339806,365.0,0.0,1e-12,0,start_2020_no_dot_weekly_fee50,start_2020_no_dot,weekly,50,2.778812209098774,18.302094659379325,344,1.0
2404,20.511068865483743,0.5934500237094531,0.7807570716126021,0.9897705124613523,-0.8111221809048917,0.0021171789777474797,365.0,0.0,1e-12,0,start_2020_no_dot_monthly_fee0,start_2020_no_dot,monthly,0,1.5985424384984914,10.528482252466777,80,1.0
2404,20.398811860848323,0.5921846713358898,0.7807516540861003,0.9887536601663719,-0.8112679049615349,0.002114989193585153,365.0,0.0,1e-12,0,start_2020_no_dot_monthly_fee5,start_2020_no_dot,monthly,5,1.5985424384984914,10.528482252466777,80,1.0
2404,20.287125547812632,0.5909201520973695,0.7807463721012781,0.9877366222833955,-0.811413527065313,0.002112799409422826,365.0,0.0,1e-12,0,start_2020_no_dot_monthly_fee10,start_2020_no_dot,monthly,10,1.5985424384984914,10.528482252466777,80,1.0
2404,20.065453695036414,0.5883936110807393,0.780736214767606,0.9857019918435629,-0.8117044656722245,0.0021084198410981727,365.0,0.0,1e-12,0,start_2020_no_dot_monthly_fee20,start_2020_no_dot,monthly,20,1.5985424384984914,10.528482252466777,80,1.0
2404,19.41384334235108,0.5808339327503456,0.7807089960384707,0.9795937008104512,-0.8125748413242778,0.002095281136124212,365.0,0.0,1e-12,0,start_2020_no_dot_monthly_fee50,start_2020_no_dot,monthly,50,1.5985424384984914,10.528482252466777,80,1.0
2172,3.6300191315196235,0.293748256402951,0.8881008249388195,0.7249674958640473,-0.8873452463956701,0.0017639567976183307,365.0,0.0,1e-12,0,exclude_dot_same_window_buyhold_fee0,exclude_dot_same_window,buyhold,0,0.1680478821362799,1.0,1,1.0
2172,3.6275511042332127,0.2936323396221243,0.8881068813208828,0.7248679418316822,-0.8873452463956699,0.0017637265950400617,365.0,0.0,1e-12,0,exclude_dot_same_window_buyhold_fee5,exclude_dot_same_window,buyhold,5,0.1680478821362799,1.0,1,1.0
2172,3.625083076946786,0.29351637139670106,0.888112984944626,0.7247683506042734,-0.8873452463956703,0.001763496392461793,365.0,0.0,1e-12,0,exclude_dot_same_window_buyhold_fee10,exclude_dot_same_window,buyhold,10,0.1680478821362799,1.0,1,1.0
2172,3.6201470223739287,0.29328428041078514,0.8881253339132482,0.7245690566341572,-0.8873452463956701,0.001763035987305255,365.0,0.0,1e-12,0,exclude_dot_same_window_buyhold_fee20,exclude_dot_same_window,buyhold,20,0.1680478821362799,1.0,1,1.0
2172,3.605338858655382,0.2925867675356755,0.8881635145165889,0.7239702838615076,-0.8873452463956701,0.0017616547718356417,365.0,0.0,1e-12,0,exclude_dot_same_window_buyhold_fee50,exclude_dot_same_window,buyhold,50,0.1680478821362799,1.0,1,1.0
2172,5.639314683614518,0.3745358506172334,0.7474222362388249,0.7991958531421797,-0.8029374810840549,0.001636539045885818,365.0,0.0,1e-12,0,exclude_dot_same_window_daily_fee0,exclude_dot_same_window,daily,0,6.443173176488864,38.3412935324214,2172,1.0
2172,5.513368469925048,0.3701190839910278,0.747415325627343,0.7948929394261598,-0.8036240236592715,0.0016277127812604907,365.0,0.0,1e-12,0,exclude_dot_same_window_daily_fee5,exclude_dot_same_window,daily,5,6.443173176488864,38.3412935324214,2172,1.0
2172,5.389807719616809,0.3657163765488467,0.7474085009081698,0.7905898552850882,-0.8043298913268496,0.0016188865166351634,365.0,0.0,1e-12,0,exclude_dot_same_window_daily_fee10,exclude_dot_same_window,daily,10,6.443173176488864,38.3412935324214,2172,1.0
2172,5.149663008517734,0.3569529617698486,0.7473951091561309,0.7819831816336571,-0.8057640758516924,0.0016012339873845089,365.0,0.0,1e-12,0,exclude_dot_same_window_daily_fee20,exclude_dot_same_window,daily,20,6.443173176488864,38.3412935324214,2172,1.0
2172,4.481959737799876,0.33099554918040597,0.7473569955540396,0.7561592240759546,-0.8101557724263198,0.001548276399632546,365.0,0.0,1e-12,0,exclude_dot_same_window_daily_fee50,exclude_dot_same_window,daily,50,6.443173176488864,38.3412935324214,2172,1.0
2172,6.419247374653478,0.40043233503134634,0.7552310577148962,0.8230770063530403,-0.805756675629079,0.0017030501865447042,365.0,0.0,1e-12,0,exclude_dot_same_window_weekly_fee0,exclude_dot_same_window,weekly,0,2.7816803083022275,16.55290309488339,311,1.0
2172,6.357755474687534,0.3984750432994224,0.7552395565151252,0.8212261561040791,-0.8060518727987864,0.0016992396655744267,365.0,0.0,1e-12,0,exclude_dot_same_window_weekly_fee5,exclude_dot_same_window,weekly,5,2.7816803083022275,16.55290309488339,311,1.0
2172,6.296768533388538,0.396520336111023,0.7552481829784474,0.8193752090075196,-0.8063466312228502,0.0016954291446041503,365.0,0.0,1e-12,0,exclude_dot_same_window_weekly_fee10,exclude_dot_same_window,weekly,10,2.7816803083022275,16.55290309488339,311,1.0
2172,6.176293119857787,0.3926186622591097,0.75526581887681,0.8156730280583442,-0.806934834384126,0.0016878081026635962,365.0,0.0,1e-12,0,exclude_dot_same_window_weekly_fee20,exclude_dot_same_window,weekly,20,2.7816803083022275,16.55290309488339,311,1.0
2172,5.826565210931995,0.38097532971680814,0.7553217900179064,0.8045642593375982,-0.8086889801117051,0.001664944976841934,365.0,0.0,1e-12,0,exclude_dot_same_window_weekly_fee50,exclude_dot_same_window,weekly,50,2.7816803083022275,16.55290309488339,311,1.0
2172,7.566033486432508,0.4346688355161663,0.7670698372221936,0.8517743421694547,-0.811122180904892,0.0017900559068437388,365.0,0.0,1e-12,0,exclude_dot_same_window_monthly_fee0,exclude_dot_same_window,monthly,0,1.6142706013165697,9.606015742629012,73,1.0
2172,7.525005195216503,0.4335117770019745,0.7670696061734623,0.8507223665823856,-0.8112679049615346,0.0017878445772528946,365.0,0.0,1e-12,0,exclude_dot_same_window_monthly_fee5,exclude_dot_same_window,monthly,5,1.6142706013165697,9.606015742629012,73,1.0
2172,7.4841675006685335,0.43235548385559097,0.7670695209035229,0.8496702288847974,-0.8114135270653129,0.00178563324766205,365.0,0.0,1e-12,0,exclude_dot_same_window_monthly_fee10,exclude_dot_same_window,monthly,10,1.6142706013165697,9.606015742629012,73,1.0
2172,7.4030604660776,0.43004519187068024,0.7670697877001318,0.8475654695573664,-0.8117044656722244,0.0017812105884803607,365.0,0.0,1e-12,0,exclude_dot_same_window_monthly_fee20,exclude_dot_same_window,monthly,20,1.6142706013165697,9.606015742629012,73,1.0
2172,7.164225033965838,0.42313263809580004,0.7670740867689022,0.8412473633538246,-0.8125748413242778,0.0017679426109352926,365.0,0.0,1e-12,0,exclude_dot_same_window_monthly_fee50,exclude_dot_same_window,monthly,50,1.6142706013165697,9.606015742629012,73,1.0
