variant,window,fee_bps_per_fill,n_obs,total_return,cagr,vol,sharpe,max_dd,mean_return,hit_rate,annualization_factor,risk_free_rate,vol_eps,sharpe_ddof
primary_22_00_fee_0bps,22-00,0,699,-0.03695616565257209,-0.019471127324450332,0.11821833012240071,-0.10721804355422505,-0.14619866681188431,-3.472640566567484e-05,0.47067238912732473,365.0,0.0,1e-12,0
primary_22_00_fee_1bps,22-00,1,699,-0.1626227073629536,-0.08851106078282067,0.11821833012240071,-0.7247195758835799,-0.20918352035438526,-0.0002347264056656748,0.45493562231759654,365.0,0.0,1e-12,0
primary_22_00_fee_5bps,22-00,5,699,-0.5214799599972693,-0.3194625970601286,0.11821833012240072,-3.1947257052010003,-0.5221223617498427,-0.001034726405665675,0.39198855507868385,365.0,0.0,1e-12,0
primary_22_00_fee_10bps,22-00,10,699,-0.7623980670593206,-0.5278448316442392,0.11821833012240071,-6.282233366847776,-0.7623980670593206,-0.002034726405665675,0.32331902718168815,365.0,0.0,1e-12,0
primary_22_00_fee_20bps,22-00,20,699,-0.9415432728491353,-0.7729756836008482,0.11821833012240071,-12.457248690141325,-0.9415432728491353,-0.004034726405665674,0.1917024320457797,365.0,0.0,1e-12,0
buyhold_fee_0bps,buyhold,0,698,0.08082110736296277,0.04147928243540866,0.44650840041965667,0.3141177752786562,-0.530878352914035,0.0003842636311864493,0.501432664756447,365.0,0.0,1e-12,0
buyhold_fee_1bps,buyhold,1,698,-0.06003771990549267,-0.03185850827727599,0.44650840041965667,0.150627010196991,-0.5553494158714778,0.00018426363118644872,0.498567335243553,365.0,0.0,1e-12,0
buyhold_fee_5bps,buyhold,5,698,-0.462454287068498,-0.27718341034187355,0.44650840041965667,-0.5033360501296683,-0.6853588353078583,-0.0006157363688135516,0.4684813753581662,365.0,0.0,1e-12,0
buyhold_fee_10bps,buyhold,10,698,-0.7328390511188797,-0.498528086293728,0.44650840041965667,-1.3207898755379928,-0.820739639671837,-0.0016157363688135526,0.4484240687679083,365.0,0.0,1e-12,0
buyhold_fee_20bps,buyhold,20,698,-0.9341472899676839,-0.7588954424553682,0.44650840041965667,-2.9556975263546397,-0.945045540663671,-0.0036157363688135522,0.40114613180515757,365.0,0.0,1e-12,0
placebo_00-02_fee_0bps,00-02,0,699,0.053105393066235074,0.027387366342816577,0.45621221922275024,0.28733581351543813,-0.5094642414377685,0.0003591400250576777,0.5021459227467812,365.0,0.0,1e-12,0
placebo_00-02_fee_1bps,00-02,1,699,-0.0843309244034276,-0.044961578602630614,0.45621221922275024,0.1273225632689407,-0.5501749084214475,0.000159140025057678,0.49356223175965663,365.0,0.0,1e-12,0
placebo_00-02_fee_5bps,00-02,5,699,-0.4767807165640342,-0.28697654934264805,0.45621221922275024,-0.5127304377170507,-0.713106766542615,-0.000640859974942323,0.4821173104434907,365.0,0.0,1e-12,0
placebo_00-02_fee_10bps,00-02,10,699,-0.7402287030304566,-0.5053313214487607,0.45621221922275024,-1.3127966889495388,-0.8389872063075061,-0.0016408599749423226,0.4592274678111588,365.0,0.0,1e-12,0
placebo_00-02_fee_20bps,00-02,20,699,-0.9361015820077992,-0.7621750843071786,0.45621221922275024,-2.912929191414516,-0.9506811920892375,-0.003640859974942323,0.4005722460658083,365.0,0.0,1e-12,0
placebo_02-04_fee_0bps,02-04,0,699,0.2731093463090344,0.1343790611156077,0.446827077107286,0.5060179960313335,-0.5306341402239012,0.000619459019535252,0.5207439198855508,365.0,0.0,1e-12,0
