primary_22_00_fee_0bps,primary_22_00_fee_1bps,primary_22_00_fee_5bps,primary_22_00_fee_10bps,primary_22_00_fee_20bps,buyhold_fee_0bps,buyhold_fee_1bps,buyhold_fee_5bps,buyhold_fee_10bps,buyhold_fee_20bps
1.001319518090081,1.001119518090081,1.000319518090081,0.9993195180900809,0.9973195180900809,,,,,
0.9996791436607046,0.9992792473996422,0.9976804623553926,0.9956837810500805,0.9916964184394563,0.9974682492140848,0.9972682492140849,0.9964682492140848,0.9954682492140848,0.9934682492140848
0.9819755894436452,0.9813829191905006,0.9790146227955775,0.9760596140916477,0.9701674465162019,0.969679910636472,0.969286028760688,0.9677113012575522,0.9657446918786325,0.9618174731207931
0.9833914493055319,0.9826016479279357,0.9794471987698576,0.9755148247861808,0.9676856110408859,0.9997752829182113,0.9991753191617524,0.9967778636925385,0.9937864397584213,0.9878215537648519
0.9722280975649089,0.9712507415962329,0.9673491745294048,0.9624898579725515,0.9528298078073308,0.9714285544381591,0.9706457664501947,0.9675193434755592,0.9636219406672827,0.9558624643466739
0.9685452094471961,0.9673773056431588,0.9627174190396529,0.9569188794727567,0.9454090829374808,0.9805855277442014,0.9796012318114987,0.9756719480576248,0.9707780826381484,0.9610492572192145
0.968344483762844,0.966983346539338,0.9615551837138707,0.9548067255226018,0.941431515756748,0.9499439892178089,0.9487945305207687,0.9442082781331919,0.9385014530110354,0.9271739950688817
0.9718598684982281,0.9703003932636723,0.9640843660432392,0.9563633506306914,0.9410834721769636,0.9125433626000738,0.9112494007973013,0.9060892662238342,0.899674332179461,0.8869611590626261
0.9759659358232379,0.9742058117923424,0.9671934978293147,0.9584912191141346,0.9412951766251239,0.9159068507060583,0.9144258696879785,0.9085228763021114,0.9011910384441776,0.8866825106435035
0.9831351608792311,0.9811672662128871,0.973331089041807,0.963615096414752,0.9444445374181216,0.9278141470139982,0.9261310272485469,0.9194256539770954,0.9111046389658939,0.894663144302993
0.9761285099193603,0.973978406678144,0.9654209790838172,0.9548203317171019,0.9339358503477191,0.9644892169498392,0.9625543398365678,0.9548497139974185,0.9452969984035642,0.9264491533791204
0.9782030637117931,0.9758535952015406,0.9665073553149367,0.9549399588397498,0.9321849892036735,0.9751488412038491,0.973000068781351,0.9644479518570176,0.9538539144818743,0.9329825587099224
0.9779056299772823,0.9753617051305333,0.9652469704378803,0.9527397185984033,0.928172807829755,0.9699539848661864,0.9676220594660825,0.9583456538218185,0.9468647935973064,0.9242804022355072
0.9813669393525122,0.9786189379104901,0.9676982273567456,0.9542064734740565,0.9277453960191601,0.9832685875913617,0.9807111273327129,0.9705425628018506,0.95796872035042,0.9332709199934253
