variant,period,fee_bps_per_fill,n_obs,total_return,cagr,vol,sharpe,max_dd,mean_return,hit_rate,annualization_factor,risk_free_rate,vol_eps,sharpe_ddof
primary_22_00_fee_0bps,post_2021,0,699,-0.03695616565257209,-0.019471127324450332,0.11821833012240071,-0.10721804355422505,-0.14619866681188431,-3.472640566567484e-05,0.47067238912732473,365.0,0.0,1e-12,0
primary_22_00_fee_1bps,post_2021,1,699,-0.1626227073629536,-0.08851106078282067,0.11821833012240071,-0.7247195758835799,-0.20918352035438526,-0.0002347264056656748,0.45493562231759654,365.0,0.0,1e-12,0
primary_22_00_fee_5bps,post_2021,5,699,-0.5214799599972693,-0.3194625970601286,0.11821833012240072,-3.1947257052010003,-0.5221223617498427,-0.001034726405665675,0.39198855507868385,365.0,0.0,1e-12,0
primary_22_00_fee_10bps,post_2021,10,699,-0.7623980670593206,-0.5278448316442392,0.11821833012240071,-6.282233366847776,-0.7623980670593206,-0.002034726405665675,0.32331902718168815,365.0,0.0,1e-12,0
primary_22_00_fee_20bps,post_2021,20,699,-0.9415432728491353,-0.7729756836008482,0.11821833012240071,-12.457248690141325,-0.9415432728491353,-0.004034726405665674,0.1917024320457797,365.0,0.0,1e-12,0
